Date,Open,High,Low,Close,Adj Close,Volume
2020-03-16,93.900002,98.973999,70.101997,85.505997,85.505997,633756500
2020-03-23,86.720001,112.000000,82.099998,102.872002,102.872002,461652500
2020-03-30,102.052002,108.592003,89.279999,96.001999,96.001999,427716500
2020-04-06,102.239998,115.036003,99.592003,114.599998,114.599998,295638000
2020-04-13,118.031998,154.990005,116.106003,150.778000,150.778000,552075000
2020-04-20,146.539993,153.113998,134.757996,145.029999,145.029999,377849500
2020-04-27,147.522003,173.964005,136.608002,140.264008,140.264008,565615500
2020-05-04,140.199997,164.800003,139.600006,163.884003,163.884003,374831000
2020-05-11,158.102005,168.658005,152.660004,159.834000,159.834000,378463000
2020-05-18,165.556000,166.944000,159.199997,163.376007,163.376007,254268500
2020-05-25,166.899994,167.000000,157.000000,167.000000,167.000000,193296500
2020-06-01,171.600006,181.731995,170.820007,177.132004,177.132004,265771000
2020-06-08,183.800003,205.496002,181.832001,187.056000,187.056000,384031000
2020-06-15,183.557999,203.839996,181.699997,200.179993,200.179993,290353500
2020-06-22,199.990005,202.399994,187.429993,191.947998,191.947998,208983500
2020-06-29,193.802002,245.600006,189.703995,241.731995,241.731995,282609500
2020-07-06,255.337997,309.783997,253.207993,308.929993,308.929993,467130500
2020-07-13,331.799988,358.997986,286.200012,300.167999,300.167999,512010500
2020-07-20,303.802002,337.799988,273.308014,283.399994,283.399994,455574000
2020-07-27,287.000000,312.940002,282.600006,286.152008,286.152008,305567500
2020-08-03,289.839996,305.481995,283.002014,290.541992,290.541992,185304000
2020-08-10,289.600006,333.760010,273.000000,330.141998,330.141998,354902000
2020-08-17,335.399994,419.097992,334.566010,409.996002,409.996002,455117500
2020-08-24,425.256012,463.697998,385.503998,442.679993,442.679993,443680500
2020-08-31,444.609985,502.489990,372.019989,418.320007,418.320007,502309600
2020-09-07,356.000000,398.989990,329.880005,372.720001,372.720001,340579600
2020-09-14,380.950012,461.940002,373.299988,442.149994,442.149994,415784100
2020-09-21,453.130005,455.679993,351.299988,407.339996,407.339996,447901400
2020-09-28,424.619995,448.880005,411.600006,415.089996,415.089996,270256000
2020-10-05,423.350006,439.000000,406.049988,434.000000,434.000000,206343600
2020-10-12,442.000000,465.899994,436.600006,439.670013,439.670013,189582800
2020-10-19,446.239990,447.000000,407.380005,420.630005,420.630005,174024800
2020-10-26,411.630005,430.500000,379.109985,388.040009,388.040009,141543700
2020-11-02,394.000000,440.000000,392.299988,429.950012,429.950012,145636400
2020-11-09,439.500000,452.500000,396.029999,408.500000,408.500000,122101100
2020-11-16,408.929993,508.609985,404.089996,489.609985,489.609985,261458100
2020-11-23,503.500000,598.780029,501.790009,585.760010,585.760010,190400100
2020-11-30,602.210022,607.799988,541.210022,599.039978,599.039978,222835600
2020-12-07,604.919983,654.320007,566.340027,609.989990,609.989990,305424100
2020-12-14,619.000000,695.000000,605.000000,695.000000,695.000000,417604200
2020-12-21,666.239990,668.500000,614.229980,661.770020,661.770020,165799900
2020-12-28,674.510010,718.719971,655.000000,705.669983,705.669983,147685300
2021-01-04,719.460022,884.489990,717.190002,880.020020,880.020020,252137800
2021-01-11,849.400024,868.000000,803.619995,826.159973,826.159973,208928700
2021-01-18,837.799988,859.500000,828.619995,846.640015,846.640015,91620500
2021-01-25,855.000000,900.400024,780.099976,793.530029,793.530029,153007800
2021-02-01,814.289978,880.500000,795.559998,852.229980,852.229980,102460400
2021-02-08,869.669983,877.770020,785.330017,816.119995,816.119995,116926600
2021-02-15,818.000000,821.000000,762.010010,781.299988,781.299988,82714200
2021-02-22,762.640015,768.500000,619.000000,675.500000,675.500000,220756700
2021-03-01,690.109985,721.109985,539.489990,597.950012,597.950012,236392400
2021-03-08,600.549988,717.849976,558.789978,693.729980,693.729980,249753700
2021-03-15,694.090027,713.179993,624.619995,654.869995,654.869995,178022600
2021-03-22,684.590027,699.619995,599.890015,618.710022,618.710022,176877000
2021-03-29,615.640015,692.419983,591.010010,661.750000,661.750000,136705100
2021-04-05,707.710022,708.159973,667.840027,677.020020,677.020020,141785400
2021-04-12,685.700012,780.789978,682.090027,739.780029,739.780029,178634300
2021-04-19,719.599976,753.770020,691.799988,729.400024,729.400024,170471000
2021-04-26,741.000000,749.299988,666.140015,709.440002,709.440002,152350600
2021-05-03,703.799988,706.000000,650.000000,672.369995,672.369995,129938100
2021-05-10,664.900024,665.049988,559.650024,589.739990,589.739990,189275700
2021-05-17,575.549988,596.679993,546.979980,580.880005,580.880005,165651100
2021-05-24,581.599976,635.590027,573.650024,625.219971,625.219971,140310900
2021-05-31,627.799988,633.799988,571.219971,599.049988,599.049988,95536500
2021-06-07,591.830017,623.090027,582.880005,609.890015,609.890015,105306600
2021-06-14,612.229980,628.349976,593.500000,623.309998,623.309998,107594500
2021-06-21,624.479980,697.619995,608.880005,671.869995,671.869995,153549900
2021-06-28,671.640015,700.000000,670.320007,678.900024,678.900024,103623400
2021-07-05,681.710022,684.000000,620.460022,656.950012,656.950012,82990300
2021-07-12,662.200012,693.280029,637.880005,644.219971,644.219971,105114900
2021-07-19,629.890015,664.859985,621.289978,643.380005,643.380005,80448100
2021-07-26,650.969971,697.530029,627.239990,687.200012,687.200012,134151600
2021-08-02,700.000000,726.940002,697.630005,699.099976,699.099976,100734500
2021-08-09,710.169983,729.900024,699.400024,717.169983,717.169983,72106200
2021-08-16,705.070007,709.500000,648.840027,680.260010,680.260010,95843400
2021-08-23,685.440002,716.969971,680.750000,711.919983,711.919983,72970000
2021-08-30,714.719971,741.989990,712.729980,733.570007,733.570007,80687300
2021-09-06,740.000000,764.450012,734.520020,736.270020,736.270020,68024800
2021-09-13,740.210022,758.909973,708.849976,756.989990,756.989990,70737300
2021-09-16,745.000000,758.900024,747.609985,756.989990,756.989990,13923393
